index,s4->s7,s2->s1,s6->s7,s7->s5,s3->s7,s1->s7,s3->s2,s5->s7,s5->s4,s6->s2,s7->s1,s4->s5,s7->s2,s2->s7,s4->s7&s2->s1,s4->s7&s6->s7,s4->s7&s7->s5,s4->s7&s3->s7,s4->s7&s1->s7,s4->s7&s3->s2,s4->s7&s5->s7,s4->s7&s5->s4,s4->s7&s6->s2,s4->s7&s7->s1,s4->s7&s4->s5,s4->s7&s7->s2,s4->s7&s2->s7,s2->s1&s6->s7,s2->s1&s7->s5,s2->s1&s3->s7,s2->s1&s1->s7,s2->s1&s3->s2,s2->s1&s5->s7,s2->s1&s5->s4,s2->s1&s6->s2,s2->s1&s7->s1,s2->s1&s4->s5,s2->s1&s7->s2,s2->s1&s2->s7,s6->s7&s7->s5,s6->s7&s3->s7,s6->s7&s1->s7,s6->s7&s3->s2,s6->s7&s5->s7,s6->s7&s5->s4,s6->s7&s6->s2,s6->s7&s7->s1,s6->s7&s4->s5,s6->s7&s7->s2,s6->s7&s2->s7,s7->s5&s3->s7,s7->s5&s1->s7,s7->s5&s3->s2,s7->s5&s5->s7,s7->s5&s5->s4,s7->s5&s6->s2,s7->s5&s7->s1,s7->s5&s4->s5,s7->s5&s7->s2,s7->s5&s2->s7,s3->s7&s1->s7,s3->s7&s3->s2,s3->s7&s5->s7,s3->s7&s5->s4,s3->s7&s6->s2,s3->s7&s7->s1,s3->s7&s4->s5,s3->s7&s7->s2,s3->s7&s2->s7,s1->s7&s3->s2,s1->s7&s5->s7,s1->s7&s5->s4,s1->s7&s6->s2,s1->s7&s7->s1,s1->s7&s4->s5,s1->s7&s7->s2,s1->s7&s2->s7,s3->s2&s5->s7,s3->s2&s5->s4,s3->s2&s6->s2,s3->s2&s7->s1,s3->s2&s4->s5,s3->s2&s7->s2,s3->s2&s2->s7,s5->s7&s5->s4,s5->s7&s6->s2,s5->s7&s7->s1,s5->s7&s4->s5,s5->s7&s7->s2,s5->s7&s2->s7,s5->s4&s6->s2,s5->s4&s7->s1,s5->s4&s4->s5,s5->s4&s7->s2,s5->s4&s2->s7,s6->s2&s7->s1,s6->s2&s4->s5,s6->s2&s7->s2,s6->s2&s2->s7,s7->s1&s4->s5,s7->s1&s7->s2,s7->s1&s2->s7,s4->s5&s7->s2,s4->s5&s2->s7,s7->s2&s2->s7,s4->s7&s2->s1&s6->s7,s4->s7&s2->s1&s7->s5,s4->s7&s2->s1&s3->s7,s4->s7&s2->s1&s1->s7,s4->s7&s2->s1&s3->s2,s4->s7&s2->s1&s5->s7,s4->s7&s2->s1&s5->s4,s4->s7&s2->s1&s6->s2,s4->s7&s2->s1&s7->s1,s4->s7&s2->s1&s4->s5,s4->s7&s2->s1&s7->s2,s4->s7&s2->s1&s2->s7,s4->s7&s6->s7&s7->s5,s4->s7&s6->s7&s3->s7,s4->s7&s6->s7&s1->s7,s4->s7&s6->s7&s3->s2,s4->s7&s6->s7&s5->s7,s4->s7&s6->s7&s5->s4,s4->s7&s6->s7&s6->s2,s4->s7&s6->s7&s7->s1,s4->s7&s6->s7&s4->s5,s4->s7&s6->s7&s7->s2,s4->s7&s6->s7&s2->s7,s4->s7&s7->s5&s3->s7,s4->s7&s7->s5&s1->s7,s4->s7&s7->s5&s3->s2,s4->s7&s7->s5&s5->s7,s4->s7&s7->s5&s5->s4,s4->s7&s7->s5&s6->s2,s4->s7&s7->s5&s7->s1,s4->s7&s7->s5&s4->s5,s4->s7&s7->s5&s7->s2,s4->s7&s7->s5&s2->s7,s4->s7&s3->s7&s1->s7,s4->s7&s3->s7&s3->s2,s4->s7&s3->s7&s5->s7,s4->s7&s3->s7&s5->s4,s4->s7&s3->s7&s6->s2,s4->s7&s3->s7&s7->s1,s4->s7&s3->s7&s4->s5,s4->s7&s3->s7&s7->s2,s4->s7&s3->s7&s2->s7,s4->s7&s1->s7&s3->s2,s4->s7&s1->s7&s5->s7,s4->s7&s1->s7&s5->s4,s4->s7&s1->s7&s6->s2,s4->s7&s1->s7&s7->s1,s4->s7&s1->s7&s4->s5,s4->s7&s1->s7&s7->s2,s4->s7&s1->s7&s2->s7,s4->s7&s3->s2&s5->s7,s4->s7&s3->s2&s5->s4,s4->s7&s3->s2&s6->s2,s4->s7&s3->s2&s7->s1,s4->s7&s3->s2&s4->s5,s4->s7&s3->s2&s7->s2,s4->s7&s3->s2&s2->s7,s4->s7&s5->s7&s5->s4,s4->s7&s5->s7&s6->s2,s4->s7&s5->s7&s7->s1,s4->s7&s5->s7&s4->s5,s4->s7&s5->s7&s7->s2,s4->s7&s5->s7&s2->s7,s4->s7&s5->s4&s6->s2,s4->s7&s5->s4&s7->s1,s4->s7&s5->s4&s4->s5,s4->s7&s5->s4&s7->s2,s4->s7&s5->s4&s2->s7,s4->s7&s6->s2&s7->s1,s4->s7&s6->s2&s4->s5,s4->s7&s6->s2&s7->s2,s4->s7&s6->s2&s2->s7,s4->s7&s7->s1&s4->s5,s4->s7&s7->s1&s7->s2,s4->s7&s7->s1&s2->s7,s4->s7&s4->s5&s7->s2,s4->s7&s4->s5&s2->s7,s4->s7&s7->s2&s2->s7,s2->s1&s6->s7&s7->s5,s2->s1&s6->s7&s3->s7,s2->s1&s6->s7&s1->s7,s2->s1&s6->s7&s3->s2,s2->s1&s6->s7&s5->s7,s2->s1&s6->s7&s5->s4,s2->s1&s6->s7&s6->s2,s2->s1&s6->s7&s7->s1,s2->s1&s6->s7&s4->s5,s2->s1&s6->s7&s7->s2,s2->s1&s6->s7&s2->s7,s2->s1&s7->s5&s3->s7,s2->s1&s7->s5&s1->s7,s2->s1&s7->s5&s3->s2,s2->s1&s7->s5&s5->s7,s2->s1&s7->s5&s5->s4,s2->s1&s7->s5&s6->s2,s2->s1&s7->s5&s7->s1,s2->s1&s7->s5&s4->s5,s2->s1&s7->s5&s7->s2,s2->s1&s7->s5&s2->s7,s2->s1&s3->s7&s1->s7,s2->s1&s3->s7&s3->s2,s2->s1&s3->s7&s5->s7,s2->s1&s3->s7&s5->s4,s2->s1&s3->s7&s6->s2,s2->s1&s3->s7&s7->s1,s2->s1&s3->s7&s4->s5,s2->s1&s3->s7&s7->s2,s2->s1&s3->s7&s2->s7,s2->s1&s1->s7&s3->s2,s2->s1&s1->s7&s5->s7,s2->s1&s1->s7&s5->s4,s2->s1&s1->s7&s6->s2,s2->s1&s1->s7&s7->s1,s2->s1&s1->s7&s4->s5,s2->s1&s1->s7&s7->s2,s2->s1&s1->s7&s2->s7,s2->s1&s3->s2&s5->s7,s2->s1&s3->s2&s5->s4,s2->s1&s3->s2&s6->s2,s2->s1&s3->s2&s7->s1,s2->s1&s3->s2&s4->s5,s2->s1&s3->s2&s7->s2,s2->s1&s3->s2&s2->s7,s2->s1&s5->s7&s5->s4,s2->s1&s5->s7&s6->s2,s2->s1&s5->s7&s7->s1,s2->s1&s5->s7&s4->s5,s2->s1&s5->s7&s7->s2,s2->s1&s5->s7&s2->s7,s2->s1&s5->s4&s6->s2,s2->s1&s5->s4&s7->s1,s2->s1&s5->s4&s4->s5,s2->s1&s5->s4&s7->s2,s2->s1&s5->s4&s2->s7,s2->s1&s6->s2&s7->s1,s2->s1&s6->s2&s4->s5,s2->s1&s6->s2&s7->s2,s2->s1&s6->s2&s2->s7,s2->s1&s7->s1&s4->s5,s2->s1&s7->s1&s7->s2,s2->s1&s7->s1&s2->s7,s2->s1&s4->s5&s7->s2,s2->s1&s4->s5&s2->s7,s2->s1&s7->s2&s2->s7,s6->s7&s7->s5&s3->s7,s6->s7&s7->s5&s1->s7,s6->s7&s7->s5&s3->s2,s6->s7&s7->s5&s5->s7,s6->s7&s7->s5&s5->s4,s6->s7&s7->s5&s6->s2,s6->s7&s7->s5&s7->s1,s6->s7&s7->s5&s4->s5,s6->s7&s7->s5&s7->s2,s6->s7&s7->s5&s2->s7,s6->s7&s3->s7&s1->s7,s6->s7&s3->s7&s3->s2,s6->s7&s3->s7&s5->s7,s6->s7&s3->s7&s5->s4,s6->s7&s3->s7&s6->s2,s6->s7&s3->s7&s7->s1,s6->s7&s3->s7&s4->s5,s6->s7&s3->s7&s7->s2,s6->s7&s3->s7&s2->s7,s6->s7&s1->s7&s3->s2,s6->s7&s1->s7&s5->s7,s6->s7&s1->s7&s5->s4,s6->s7&s1->s7&s6->s2,s6->s7&s1->s7&s7->s1,s6->s7&s1->s7&s4->s5,s6->s7&s1->s7&s7->s2,s6->s7&s1->s7&s2->s7,s6->s7&s3->s2&s5->s7,s6->s7&s3->s2&s5->s4,s6->s7&s3->s2&s6->s2,s6->s7&s3->s2&s7->s1,s6->s7&s3->s2&s4->s5,s6->s7&s3->s2&s7->s2,s6->s7&s3->s2&s2->s7,s6->s7&s5->s7&s5->s4,s6->s7&s5->s7&s6->s2,s6->s7&s5->s7&s7->s1,s6->s7&s5->s7&s4->s5,s6->s7&s5->s7&s7->s2,s6->s7&s5->s7&s2->s7,s6->s7&s5->s4&s6->s2,s6->s7&s5->s4&s7->s1,s6->s7&s5->s4&s4->s5,s6->s7&s5->s4&s7->s2,s6->s7&s5->s4&s2->s7,s6->s7&s6->s2&s7->s1,s6->s7&s6->s2&s4->s5,s6->s7&s6->s2&s7->s2,s6->s7&s6->s2&s2->s7,s6->s7&s7->s1&s4->s5,s6->s7&s7->s1&s7->s2,s6->s7&s7->s1&s2->s7,s6->s7&s4->s5&s7->s2,s6->s7&s4->s5&s2->s7,s6->s7&s7->s2&s2->s7,s7->s5&s3->s7&s1->s7,s7->s5&s3->s7&s3->s2,s7->s5&s3->s7&s5->s7,s7->s5&s3->s7&s5->s4,s7->s5&s3->s7&s6->s2,s7->s5&s3->s7&s7->s1,s7->s5&s3->s7&s4->s5,s7->s5&s3->s7&s7->s2,s7->s5&s3->s7&s2->s7,s7->s5&s1->s7&s3->s2,s7->s5&s1->s7&s5->s7,s7->s5&s1->s7&s5->s4,s7->s5&s1->s7&s6->s2,s7->s5&s1->s7&s7->s1,s7->s5&s1->s7&s4->s5,s7->s5&s1->s7&s7->s2,s7->s5&s1->s7&s2->s7,s7->s5&s3->s2&s5->s7,s7->s5&s3->s2&s5->s4,s7->s5&s3->s2&s6->s2,s7->s5&s3->s2&s7->s1,s7->s5&s3->s2&s4->s5,s7->s5&s3->s2&s7->s2,s7->s5&s3->s2&s2->s7,s7->s5&s5->s7&s5->s4,s7->s5&s5->s7&s6->s2,s7->s5&s5->s7&s7->s1,s7->s5&s5->s7&s4->s5,s7->s5&s5->s7&s7->s2,s7->s5&s5->s7&s2->s7,s7->s5&s5->s4&s6->s2,s7->s5&s5->s4&s7->s1,s7->s5&s5->s4&s4->s5,s7->s5&s5->s4&s7->s2,s7->s5&s5->s4&s2->s7,s7->s5&s6->s2&s7->s1,s7->s5&s6->s2&s4->s5,s7->s5&s6->s2&s7->s2,s7->s5&s6->s2&s2->s7,s7->s5&s7->s1&s4->s5,s7->s5&s7->s1&s7->s2,s7->s5&s7->s1&s2->s7,s7->s5&s4->s5&s7->s2,s7->s5&s4->s5&s2->s7,s7->s5&s7->s2&s2->s7,s3->s7&s1->s7&s3->s2,s3->s7&s1->s7&s5->s7,s3->s7&s1->s7&s5->s4,s3->s7&s1->s7&s6->s2,s3->s7&s1->s7&s7->s1,s3->s7&s1->s7&s4->s5,s3->s7&s1->s7&s7->s2,s3->s7&s1->s7&s2->s7,s3->s7&s3->s2&s5->s7,s3->s7&s3->s2&s5->s4,s3->s7&s3->s2&s6->s2,s3->s7&s3->s2&s7->s1,s3->s7&s3->s2&s4->s5,s3->s7&s3->s2&s7->s2,s3->s7&s3->s2&s2->s7,s3->s7&s5->s7&s5->s4,s3->s7&s5->s7&s6->s2,s3->s7&s5->s7&s7->s1,s3->s7&s5->s7&s4->s5,s3->s7&s5->s7&s7->s2,s3->s7&s5->s7&s2->s7,s3->s7&s5->s4&s6->s2,s3->s7&s5->s4&s7->s1,s3->s7&s5->s4&s4->s5,s3->s7&s5->s4&s7->s2,s3->s7&s5->s4&s2->s7,s3->s7&s6->s2&s7->s1,s3->s7&s6->s2&s4->s5,s3->s7&s6->s2&s7->s2,s3->s7&s6->s2&s2->s7,s3->s7&s7->s1&s4->s5,s3->s7&s7->s1&s7->s2,s3->s7&s7->s1&s2->s7,s3->s7&s4->s5&s7->s2,s3->s7&s4->s5&s2->s7,s3->s7&s7->s2&s2->s7,s1->s7&s3->s2&s5->s7,s1->s7&s3->s2&s5->s4,s1->s7&s3->s2&s6->s2,s1->s7&s3->s2&s7->s1,s1->s7&s3->s2&s4->s5,s1->s7&s3->s2&s7->s2,s1->s7&s3->s2&s2->s7,s1->s7&s5->s7&s5->s4,s1->s7&s5->s7&s6->s2,s1->s7&s5->s7&s7->s1,s1->s7&s5->s7&s4->s5,s1->s7&s5->s7&s7->s2,s1->s7&s5->s7&s2->s7,s1->s7&s5->s4&s6->s2,s1->s7&s5->s4&s7->s1,s1->s7&s5->s4&s4->s5,s1->s7&s5->s4&s7->s2,s1->s7&s5->s4&s2->s7,s1->s7&s6->s2&s7->s1,s1->s7&s6->s2&s4->s5,s1->s7&s6->s2&s7->s2,s1->s7&s6->s2&s2->s7,s1->s7&s7->s1&s4->s5,s1->s7&s7->s1&s7->s2,s1->s7&s7->s1&s2->s7,s1->s7&s4->s5&s7->s2,s1->s7&s4->s5&s2->s7,s1->s7&s7->s2&s2->s7,s3->s2&s5->s7&s5->s4,s3->s2&s5->s7&s6->s2,s3->s2&s5->s7&s7->s1,s3->s2&s5->s7&s4->s5,s3->s2&s5->s7&s7->s2,s3->s2&s5->s7&s2->s7,s3->s2&s5->s4&s6->s2,s3->s2&s5->s4&s7->s1,s3->s2&s5->s4&s4->s5,s3->s2&s5->s4&s7->s2,s3->s2&s5->s4&s2->s7,s3->s2&s6->s2&s7->s1,s3->s2&s6->s2&s4->s5,s3->s2&s6->s2&s7->s2,s3->s2&s6->s2&s2->s7,s3->s2&s7->s1&s4->s5,s3->s2&s7->s1&s7->s2,s3->s2&s7->s1&s2->s7,s3->s2&s4->s5&s7->s2,s3->s2&s4->s5&s2->s7,s3->s2&s7->s2&s2->s7,s5->s7&s5->s4&s6->s2,s5->s7&s5->s4&s7->s1,s5->s7&s5->s4&s4->s5,s5->s7&s5->s4&s7->s2,s5->s7&s5->s4&s2->s7,s5->s7&s6->s2&s7->s1,s5->s7&s6->s2&s4->s5,s5->s7&s6->s2&s7->s2,s5->s7&s6->s2&s2->s7,s5->s7&s7->s1&s4->s5,s5->s7&s7->s1&s7->s2,s5->s7&s7->s1&s2->s7,s5->s7&s4->s5&s7->s2,s5->s7&s4->s5&s2->s7,s5->s7&s7->s2&s2->s7,s5->s4&s6->s2&s7->s1,s5->s4&s6->s2&s4->s5,s5->s4&s6->s2&s7->s2,s5->s4&s6->s2&s2->s7,s5->s4&s7->s1&s4->s5,s5->s4&s7->s1&s7->s2,s5->s4&s7->s1&s2->s7,s5->s4&s4->s5&s7->s2,s5->s4&s4->s5&s2->s7,s5->s4&s7->s2&s2->s7,s6->s2&s7->s1&s4->s5,s6->s2&s7->s1&s7->s2,s6->s2&s7->s1&s2->s7,s6->s2&s4->s5&s7->s2,s6->s2&s4->s5&s2->s7,s6->s2&s7->s2&s2->s7,s7->s1&s4->s5&s7->s2,s7->s1&s4->s5&s2->s7,s7->s1&s7->s2&s2->s7,s4->s5&s7->s2&s2->s7
s2,0.00,0.00,0.00,0.00,0.00,0.00,1.34129431979,0.00,0.00,21.6640291605,0.00,0.00,70.3498280287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.131782438215,0.00,0.00,0.381283426229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.04139198024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0472423957277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
s7,1.93927162542,1.27148612901,6.95670284584,17.0588314285,0.419355432085,3.09849930921,0.00,1.62575902189,19.6817755627,0.0166750545062,1.37412011376,3.04209398988,0.062615671868,4.19042419674,0.0163369214595,0.128183415526,0.00,0.00,0.0582633082533,0.00,0.0508413938054,0.0109551076419,0.00,0.0177369994744,0.527037281269,0.00,0.0663238035267,0.0806107557932,0.222253812382,0.00,0.00,0.00,0.00,0.18356338874,0.00,0.810834617385,0.0268309456489,0.00,0.0524369910678,0.8601055844,0.0277010739758,0.22689720079,0.00,0.0921535214903,0.896790916457,0.00,0.0864355337601,0.586290124468,0.0104675293371,0.307644637063,0.0491406225099,0.366394226508,0.00,0.00,11.2432694896,0.00,0.242405114177,3.51045939542,0.00,0.543416487995,0.0100055893045,0.00,0.00,0.0562851783088,0.00,0.00,0.0341897336362,0.00,0.0161220328654,0.00,0.0361521015714,0.391285693943,0.00,0.00,0.267891991975,0.00,0.13313743882,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0111449224958,0.0148007977226,0.00,0.0440524937077,0.00,0.198198668786,3.85800223966,0.00,0.553271354173,0.00,0.0201688930887,0.00,0.00,0.0237730648549,0.00,0.0501724646921,0.0655116613361,0.308245743555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.038014945266,0.00,0.00,0.109918570708,0.00,0.00,0.00,0.00,0.00,0.00,0.0286395345001,0.00,0.00,0.496849097007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0172116404544,0.00,0.00,0.0425830418448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0154884799487,0.00,0.00,0.00,0.00,0.551496297069,0.00,0.0129725877935,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0434895275915,0.00,0.0164270732798,0.00,0.00,0.00,0.00,0.0135335343522,0.00,0.0427620473128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.167968433452,0.00,0.184009531699,0.0315130616411,0.00,0.011650291573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.129224926631,0.0277576708936,0.00,0.0106091795285,0.00,0.00,0.00,0.00,0.00,0.00,0.0364341523165,0.00,0.00,0.00,0.00,0.0393197579766,0.00,0.00,0.92337067399,0.00,0.0182595916337,0.646330832454,0.00,0.0560932705351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0472694987176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0161315869878,0.771562434581,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0559222462135,0.00,0.00,0.00,0.00,0.0571646361789,0.00,0.00,0.0317461822255,0.00,0.00,0.00,0.00,0.388714346051,0.00,0.00,0.294145633874,0.00,0.0213879363758,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0187213911231,0.00,0.00,0.00,0.179942278223,3.96735260288,0.00,0.551841046433,0.00,0.0198528750838,0.00,0.00,0.0294984682639,0.00,0.0100522723442,0.0591332124586,0.333853280241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04111189121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.335143182435,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0241582541052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0203062520717,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0312271086511,0.00,0.00,0.0233256840012,0.00,0.00,0.0861746870489,0.379647874161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
